Segment,xOrigin,yOrigin,zOrigin,xEnd,yEnd,zEnd
0,-0.369205,-0.0382361,0.954677,-0.3770785,-0.0196237,1.131365
1,-0.369101,-0.0369571,0.959977,-0.3701787,0.0765649,0.9472256
2,-0.369596,0.0776274,0.9318,-0.3433285,0.1131526,0.47551
3,-0.343519,0.113299,0.4753,-0.3170239,0.1441034,0.077528
4,-0.317073,0.144268,0.0760361,-0.2578509,0.1313329,1.76E-4
5,-0.258042,0.131487,-0.0019161,-0.5219574,0.1993861,0.0282747
6,-0.369204,-0.0382372,0.954675,-0.3681096,-0.1518686,0.9664096
7,-0.368177,-0.153556,0.96102,-0.369608,-0.1961833,0.5045846
8,-0.369675,-0.197361,0.499679,-0.3434081,-0.2326658,0.1022656
9,-0.343383,-0.232995,0.100726,-0.2687395,-0.2098971,0.043071
10,-0.268957,-0.209918,0.0429637,-0.533928,-0.2679333,0.0029925
11,-0.378423,-0.0160373,1.17008,-0.3802611,-0.0125219,1.3391095
12,-0.380925,-0.0101201,1.3584,-0.3774514,-0.0202725,1.5282794
13,-0.37705,-0.0181968,1.52862,-0.3889982,-0.0274175,1.6706212
14,-0.389051,-0.0274422,1.67084,-0.4490748,-0.0541981,1.9499516
15,-0.377476,-0.0203188,1.52832,-0.3931034,-0.1748102,1.620344
16,-0.393289,-0.175183,1.62176,-0.4218731,-0.5031187,1.5843512
17,-0.422377,-0.503843,1.5855,-0.5051809,-0.7929731,1.5223742
18,-0.50582,-0.793702,1.52321,-0.5274185,-0.869157,1.5067145
19,-0.377001,-0.021725,1.54017,-0.3556553,0.1436565,1.6092609
20,-0.355653,0.143779,1.60923,-0.3412316,0.4732529,1.5776479
21,-0.341209,0.473145,1.57883,-0.3716436,0.7771909,1.5461577
22,-0.371655,0.77722,1.54619,-0.3795977,0.8565691,1.5376645
